iter	Logloss
0	0.4291225897
1	0.3162926671
2	0.2567760888
3	0.2311117652
4	0.215455869
5	0.206270544
6	0.2020627331
7	0.197609189
8	0.1950500544
9	0.193596904
10	0.1922613044
11	0.1900169484
12	0.1878347033
13	0.185990342
14	0.1853861399
15	0.1842495998
16	0.1835799017
17	0.1824751153
18	0.1818669805
19	0.1815116209
20	0.1796681488
21	0.1792027759
22	0.1787469127
23	0.1782480263
24	0.177816546
25	0.1769570188
26	0.1769267762
27	0.1765094963
28	0.1762326789
29	0.1753855869
30	0.1751094901
31	0.1749018693
32	0.1734776339
33	0.1729920274
34	0.1725791723
35	0.1723289376
36	0.1719843674
37	0.1718414602
38	0.1712306039
39	0.1708032161
40	0.1707736139
41	0.1703172292
42	0.1702945905
43	0.1702779972
44	0.1698445482
45	0.1691501602
46	0.1688219141
47	0.1684156183
48	0.1684085472
49	0.1682504262
50	0.1682309633
51	0.1678856509
52	0.1678746726
53	0.1678639808
54	0.1678580413
55	0.1678425046
56	0.1678307327
57	0.1678268131
58	0.1678134824
59	0.1678017966
60	0.1669533641
61	0.1665577788
62	0.1658280236
63	0.1657866856
64	0.1657810606
65	0.1656527402
66	0.1653195308
67	0.1647504184
68	0.1639843047
69	0.1635827269
70	0.1635662388
71	0.1635284002
72	0.1635229242
73	0.1635070545
74	0.1634845853
75	0.1632477941
76	0.1626865871
77	0.1626405524
78	0.1625261243
79	0.1624073338
80	0.1615971748
81	0.1615942201
82	0.161578803
83	0.1613821738
84	0.1613368332
85	0.1612782492
86	0.1612644552
87	0.161067013
88	0.1610661055
89	0.1610556346
90	0.1609873669
91	0.1609838198
92	0.1607804732
93	0.1607801909
94	0.1607721909
95	0.1607610843
96	0.1607574121
97	0.1604378836
98	0.1601558092
99	0.1601536322
100	0.1601480601
101	0.1601453955
102	0.159860468
103	0.1595479058
104	0.159542156
105	0.1595420291
106	0.1595311624
107	0.1595282133
108	0.1595280879
109	0.1595255745
110	0.1595154337
111	0.1595073332
112	0.1593599384
113	0.1591862597
114	0.1587221956
115	0.1584282327
116	0.1581273572
117	0.1581222568
118	0.157786519
119	0.1574790816
120	0.1574735404
121	0.1574282604
122	0.1574235348
123	0.1572793408
124	0.1572712968
125	0.1572698583
126	0.1572680472
127	0.1570809895
128	0.1570809775
129	0.1570793013
130	0.1568928652
131	0.1568882915
132	0.1568876145
133	0.1568766133
134	0.1568736239
135	0.156764655
136	0.1567632061
137	0.1565621001
138	0.1563730969
139	0.1561779806
140	0.1558959501
141	0.1558384114
142	0.1558313816
143	0.1558264676
144	0.1556613047
145	0.1556601636
146	0.155657685
147	0.1555446771
148	0.1554450512
149	0.1552982333
150	0.1550008639
151	0.1549933718
152	0.1549912407
153	0.1549904243
154	0.1549802071
155	0.1549763366
156	0.1548550243
157	0.1548549629
158	0.154854254
159	0.1548541959
160	0.1548504315
161	0.1548495403
162	0.154840673
163	0.1547731255
164	0.154771737
165	0.1547286399
166	0.1547265306
167	0.1547265232
168	0.1546531509
169	0.1542874072
170	0.154105154
171	0.1540003628
172	0.1539005037
173	0.1538936799
174	0.1536235034
175	0.1536203895
176	0.1536051387
177	0.1533634859
178	0.1533558787
179	0.1531750979
180	0.1523727358
181	0.1522310144
182	0.1521120422
183	0.1517637804
184	0.1515767896
185	0.1515729327
186	0.1513342113
187	0.1512140193
188	0.1510767699
189	0.1506815142
190	0.1506715123
191	0.1505086608
192	0.1505005677
193	0.1504983754
194	0.150492884
195	0.1504894712
196	0.150488839
197	0.1504165867
198	0.1504145568
199	0.1504135041
200	0.1504134182
201	0.1504092711
202	0.1504065755
203	0.1502701471
204	0.1502685747
205	0.1502614273
206	0.1501900471
207	0.1501871643
208	0.1501819052
209	0.1501787613
210	0.1501786602
211	0.1501753456
212	0.1501725779
213	0.1501725006
214	0.1501723358
215	0.1501723046
216	0.15002039
217	0.1499243627
218	0.1498134656
219	0.1498091698
220	0.1498075982
221	0.1498063357
222	0.1498036102
223	0.1498021233
224	0.1498021173
225	0.1498021039
226	0.1490786287
227	0.1489771843
228	0.1489358481
229	0.1489186613
230	0.148725014
231	0.1487087151
232	0.1485573462
233	0.1480533505
234	0.1480431659
235	0.1480269459
236	0.1479932922
237	0.1479884627
238	0.1478864339
239	0.147756673
240	0.1476983149
241	0.1475869336
242	0.1475748297
243	0.1474378606
244	0.1474314105
245	0.1474256034
246	0.1474229995
247	0.1474210649
248	0.1471777099
249	0.1470382475
250	0.1470359642
251	0.1468246997
252	0.1468212607
253	0.1467970229
254	0.1465714046
255	0.1464104327
256	0.1462293122
257	0.1462247071
258	0.1460304352
259	0.1456970218
260	0.1456910015
261	0.1456609832
262	0.1456477564
263	0.1456377439
264	0.1456338038
265	0.1456099872
266	0.1454874628
267	0.1454838631
268	0.1454838221
269	0.1454674897
270	0.1454559555
271	0.1454536411
272	0.1453509314
273	0.1453392021
274	0.1453374285
275	0.1453374277
276	0.1452964027
277	0.1450932869
278	0.1449503871
279	0.144751781
280	0.1446144877
281	0.1444798247
282	0.1443075531
283	0.1440696207
284	0.1440647558
285	0.1440620222
286	0.1440437284
287	0.1437201962
288	0.1435967777
289	0.1435313848
290	0.1433538318
291	0.1433502235
292	0.1429911966
293	0.1427037443
294	0.1425939201
295	0.1425037759
296	0.1423491353
297	0.1423413689
298	0.1423393817
299	0.1420856538
300	0.1419598105
301	0.1418584357
302	0.1417403615
303	0.1417389656
304	0.1416896418
305	0.1415386932
306	0.1415352865
307	0.1415315601
308	0.1415259135
309	0.1415259117
310	0.1413275458
311	0.1413275294
312	0.1412386974
313	0.141148065
314	0.1410308947
315	0.1408892905
316	0.1408062902
317	0.1406339257
318	0.1406275518
319	0.1405706952
320	0.1405206403
321	0.1402807588
322	0.1401791602
323	0.1399937764
324	0.1399732895
325	0.1399473729
326	0.139876376
327	0.1397918236
328	0.1396264744
329	0.1396224679
330	0.1394339233
331	0.1393806047
332	0.139357062
333	0.1392110645
334	0.1390069189
335	0.1388484028
336	0.1388293682
337	0.1387653602
338	0.1387091535
339	0.1386003571
340	0.1385264308
341	0.1383940545
342	0.1383805388
343	0.1383197106
344	0.1381274524
345	0.1380506074
346	0.138047265
347	0.1380383963
348	0.1378205795
349	0.1376491971
350	0.1376035833
351	0.1374247082
352	0.1372266564
353	0.1369782699
354	0.1367177796
355	0.1365835479
356	0.1365269288
357	0.1363873274
358	0.1362497167
359	0.1361039809
360	0.1359905672
361	0.1359163126
362	0.1359094409
363	0.1359094331
364	0.1359048922
365	0.1357477363
366	0.1356277348
367	0.1354925026
368	0.1354804349
369	0.1353931137
370	0.1352461694
371	0.1350843932
372	0.1349344748
373	0.1347808035
374	0.1347807778
375	0.1346356975
376	0.1346275629
377	0.1346275421
378	0.1346005874
379	0.1345923262
380	0.1344076453
381	0.1343871637
382	0.1343776589
383	0.1342643531
384	0.1342381316
385	0.1342152058
386	0.1341674314
387	0.134166663
388	0.1340667766
389	0.1339367345
390	0.1337175062
391	0.1335523295
392	0.1334119044
393	0.1333229725
394	0.1333005879
395	0.1331835242
396	0.1329525528
397	0.1328248123
398	0.1327587251
399	0.1326754295
400	0.1325933129
401	0.1324663077
402	0.1323161436
403	0.1322025447
404	0.1321961495
405	0.1320977869
406	0.1320956255
407	0.1320039836
408	0.1319882028
409	0.1318751879
410	0.1318343288
411	0.1318274381
412	0.1318172942
413	0.1317731755
414	0.1317682958
415	0.1317601136
416	0.1316914037
417	0.1315493705
418	0.1315463392
419	0.1315441091
420	0.1315437936
421	0.1315431487
422	0.1315176685
423	0.131517563
424	0.1314428436
425	0.1314282027
426	0.1314011787
427	0.1313880946
428	0.1313276844
429	0.131324659
430	0.1313245855
431	0.1312854773
432	0.1312068144
433	0.131206814
434	0.1311403706
435	0.131129036
436	0.1311268933
437	0.1310606668
438	0.1308824903
439	0.1308737877
440	0.1308302726
441	0.1307095034
442	0.13061698
443	0.1305350632
444	0.1305349927
445	0.1304176605
446	0.1303653587
447	0.1301935907
448	0.1301863297
449	0.1301226461
450	0.1300601325
451	0.1299479116
452	0.129752362
453	0.1297501832
454	0.1297055365
455	0.1296986181
456	0.1296937627
457	0.1296916064
458	0.1296915862
459	0.1296886677
460	0.1294967569
461	0.1294308981
462	0.1292200651
463	0.1291489325
464	0.1290044004
465	0.1289738988
466	0.1289232536
467	0.1287788169
468	0.1286882799
469	0.1285414688
470	0.1283635888
471	0.1282529329
472	0.1282484648
473	0.1281358962
474	0.1280803968
475	0.1279300923
476	0.1279286682
477	0.1278224747
478	0.1277380988
479	0.1276734432
480	0.1275225663
481	0.1275010391
482	0.1273846113
483	0.1272814627
484	0.1271405442
485	0.1270024421
486	0.1268134017
487	0.1266891262
488	0.1265282134
489	0.1264727914
490	0.1264121621
491	0.1264115084
492	0.1263933012
493	0.1262862963
494	0.1261802636
495	0.1261340725
496	0.1260698446
497	0.1260465143
498	0.1260285844
499	0.1260209874
500	0.1259260673
501	0.1259255648
502	0.1259255245
503	0.1259247434
504	0.1258183804
505	0.1256977838
506	0.125597331
507	0.1255913691
508	0.125591094
509	0.1255739116
510	0.1255715682
511	0.1254912669
512	0.1254689765
513	0.1254606005
514	0.1253851897
515	0.1253739832
516	0.1253719492
517	0.1252631494
518	0.1252631459
519	0.1250583625
520	0.1249639154
521	0.1248326876
522	0.1247210202
523	0.1246559273
524	0.1245066799
525	0.1244985146
526	0.1243748675
527	0.1243588687
528	0.1243530778
529	0.1242884516
530	0.1242868749
531	0.1242173027
532	0.124134382
533	0.1241006181
534	0.1240853649
535	0.1239157721
536	0.123885913
537	0.1238616164
538	0.1238615521
539	0.123789738
540	0.123789737
541	0.1237897346
542	0.1237885416
543	0.1237833365
544	0.123704714
545	0.123704705
546	0.1237046889
547	0.1236414295
548	0.1235911433
549	0.1235259028
550	0.1234904055
551	0.1234904004
552	0.1234170817
553	0.1233190013
554	0.1231724479
555	0.1230680062
556	0.1230235616
557	0.122966753
558	0.1228333787
559	0.1227985737
560	0.1227187537
561	0.1226278205
562	0.1225761416
563	0.122485399
564	0.122474395
565	0.1224652193
566	0.1223866926
567	0.1223866322
568	0.1223577098
569	0.122235112
570	0.1221055537
571	0.1220480509
572	0.1219230687
573	0.121881737
574	0.1218568578
575	0.1218547037
576	0.1218470655
577	0.1218460983
578	0.1217467558
579	0.1216305754
580	0.1215789519
581	0.1215653325
582	0.1214234458
583	0.1213447291
584	0.1213286087
585	0.1212995803
586	0.1212858247
587	0.1212633334
588	0.1211365971
589	0.1210800102
590	0.1210287407
591	0.1208411482
592	0.1207520357
593	0.1207520279
594	0.1205902904
595	0.1204966357
596	0.1204278658
597	0.1204251576
598	0.1203584554
599	0.1202622134
600	0.1202330254
601	0.1201808204
602	0.1201639185
603	0.1200205765
604	0.1200205677
605	0.120019103
606	0.1199322611
607	0.1198612086
608	0.119728509
609	0.1197259809
610	0.1197151371
611	0.1197034839
612	0.1197033422
613	0.1197018889
614	0.119700941
615	0.1197009366
616	0.1196094907
617	0.1195811576
618	0.119485437
619	0.1194718911
620	0.1193916904
621	0.1192244309
622	0.1190762579
623	0.1190241125
624	0.1190011096
625	0.1188586945
626	0.1188236649
627	0.1188095145
628	0.118765343
629	0.1186520563
630	0.1185536299
631	0.1184816071
632	0.1183402556
633	0.1182927979
634	0.1182736184
635	0.1181878654
636	0.1181138219
637	0.1180522769
638	0.1180495795
639	0.1180461219
640	0.1180295019
641	0.1180293041
642	0.1179637261
643	0.117884624
644	0.1178367615
645	0.1178223638
646	0.1177741209
647	0.1177058972
648	0.1176634603
649	0.1176501455
650	0.1176011571
651	0.1176011301
652	0.1176010676
653	0.1175386516
654	0.1174084892
655	0.1172974231
656	0.1171849058
657	0.117105869
658	0.1170981396
659	0.1170906917
660	0.1170857699
661	0.116923153
662	0.1168190264
663	0.1168020172
664	0.1167045924
665	0.1167032707
666	0.1166342069
667	0.1165708775
668	0.1164324701
669	0.1163644029
670	0.1162235187
671	0.1162228096
672	0.1161398871
673	0.1161269613
674	0.1161242774
675	0.1160654461
676	0.1160089364
677	0.1159995272
678	0.115976731
679	0.1158913673
680	0.1158913611
681	0.1158267451
682	0.1158102008
683	0.1158094534
684	0.1157122326
685	0.1156189415
686	0.1155432971
687	0.1154620712
688	0.1154171673
689	0.1154068978
690	0.115320307
691	0.1152553075
692	0.1152464906
693	0.1151625911
694	0.1150808104
695	0.1149642793
696	0.1149437494
697	0.1148350183
698	0.1147402004
699	0.114712507
700	0.1146504129
701	0.1145304412
702	0.1143560498
703	0.1143534797
704	0.1142578062
705	0.1142562373
706	0.1141700801
707	0.1141675839
708	0.1141675816
709	0.1140161602
710	0.1140161163
711	0.1140161048
712	0.1140131714
713	0.1140131695
714	0.1140116463
715	0.1138934021
716	0.1138573023
717	0.113758891
718	0.1137503103
719	0.1137245188
720	0.1136427702
721	0.113629105
722	0.1135794448
723	0.1135761734
724	0.1135742556
725	0.1135720321
726	0.1134613215
727	0.1133821447
728	0.1133384182
729	0.1133178034
730	0.1132155844
731	0.1132135866
732	0.1131484389
733	0.1131484374
734	0.1131076933
735	0.1130404947
736	0.1129752715
737	0.1128739815
738	0.1127831118
739	0.1127039778
740	0.112692516
741	0.1126368393
742	0.1125993355
743	0.1125981484
744	0.1125969347
745	0.1125553295
746	0.1125547304
747	0.112545846
748	0.1123767788
749	0.1122997087
750	0.1122347492
751	0.112234745
752	0.1121374566
753	0.1120998973
754	0.1120817364
755	0.112075812
756	0.1120718611
757	0.1120674858
758	0.1120674231
759	0.1120293915
760	0.1119766186
761	0.1118376123
762	0.1117880259
763	0.1117554684
764	0.111726336
765	0.111683476
766	0.11166118
767	0.1116509261
768	0.1115728193
769	0.1115342366
770	0.1113850454
771	0.1112441001
772	0.1112126317
773	0.1110199832
774	0.1109365813
775	0.1108864662
776	0.1107789292
777	0.1106954264
778	0.1106272922
779	0.1106087568
780	0.1105661356
781	0.110500574
782	0.1104786104
783	0.1104483145
784	0.1104430064
785	0.1104410169
